city,maxLat,maxLon,minLat,minLon
Austin,30.400427,-97.687065,30.20629,-97.79667
Hamburg,53.708797,10.222298,53.454456,9.790389
Vancouver,49.33579,-122.997925,49.202908,-123.245316
Amsterdam,52.415413,5.0174627,52.299976,4.818444
Wien,48.2706,16.482737,48.10489,16.25849
Washington DC,38.995544,-76.90921,38.804417,-77.17212
Portland,45.594273,-118.238335,34.047558,-122.73726
Berlin,52.576763,13.54876,52.388954,13.181448
Toronto,43.71414,-79.278336,43.625668,-79.49229
Calgary,51.143883,-114.00889,50.993885,-114.17695
Stuttgart,48.84045,9.33481,48.65093,8.946251
Rheinland,51.28243,7.119978,50.87923,6.694164
Milano,45.535286,9.291918,45.358276,9.079734
Seattle,47.734516,-122.23634,47.43473,-122.42226
Denver,39.78037,-104.833176,39.660156,-105.209045
Montreal,45.614017,-73.50638,45.445236,-73.73987
MÃ¼nchen,48.353886,11.791836,48.07822,11.452646
Columbus,40.075535,-82.90346,39.92898,-83.07589
Roma,41.971596,12.631516,41.793865,12.254062
Frankfurt,50.18545,8.745303,50.04888,8.549031
New York City,40.786617,-73.88804,40.571396,-74.04147
Madrid,40.48528,-3.658556,40.381947,-3.7417815
Firenze,43.899075,11.316268,43.73301,11.080938
Torino,45.188786,7.727551,45.01059,7.606612
